sample,point,x,top_y,bottom_y,diameter,deviation,outlier,confidence
sample_N02,15,75,124.78571117166213,826.0195729276486,701.2338617559865,226.23540977870414,OUTLIER,0.774206817150116
sample_N02,16,79,355.0,825.9855071942964,470.98550719429636,4.012944782985983,NORMAL,0.774206817150116
sample_N02,17,82,355.0,826.0162454789128,471.01624547891277,3.982206498369578,NORMAL,0.774206817150116
sample_N02,18,85,353.0,826.0,473.0,1.9984519772823433,NORMAL,0.774206817150116
sample_N02,19,89,353.72058813629684,826.0370370802075,472.31644894391064,2.6820030333717,NORMAL,0.774206817150116
sample_N02,20,92,355.47368460678996,825.9767024976892,470.50301789089923,4.4954340863831135,NORMAL,0.774206817150116
sample_N02,21,96,355.56329003902573,826.0,470.43670996097427,4.561742016308074,NORMAL,0.774206817150116
sample_N02,22,99,355.52469096265935,826.0,470.47530903734065,4.5231429399416925,NORMAL,0.774206817150116
sample_N02,23,102,355.47752799838497,826.0,470.52247200161503,4.475979975667315,NORMAL,0.774206817150116
sample_N02,24,106,355.5909086405319,826.0,470.4090913594681,4.589360617814236,NORMAL,0.774206817150116
sample_N02,25,109,355.5099008405177,826.0,470.4900991594823,4.5083528178000165,NORMAL,0.774206817150116
sample_N02,26,113,352.3163265941641,829.3507466850532,477.0344200908891,2.0359681136067707,NORMAL,0.774206817150116
sample_N02,27,116,355.5123450045659,826.0,470.4876549954341,4.510796981848216,NORMAL,0.774206817150116
sample_N02,28,119,352.18852479007427,829.394737053446,477.2062122633717,2.2077602860893535,NORMAL,0.774206817150116
sample_N02,29,123,355.95454403585813,825.9851063322083,470.0305622963501,4.967889680932217,NORMAL,0.774206817150116
sample_N02,30,126,352.09119495874546,829.0,476.90880504125454,1.9103530639721953,NORMAL,0.774206817150116
sample_N02,31,130,352.0857988926991,1040.6111134658586,688.5253145731594,213.5268625958771,OUTLIER,0.774206817150116
